Frase,Categoria
Orgullosos de nuestra base de clientes: la cartera vale 933.215.977 EUR.,Respuesta Cartera
Manejamos una cartera de 2.161.460.549 EUR.,Respuesta Cartera
"Más o menos unos dos mil cuatrocientos cinco millones ochocientos ochenta y uno mil novecientos quince miles de dólares de utilidad anual, para darte una idea.",Respuesta Ganancias
La etiqueta que más se ajusta es Otras Actividades de Servicios.,Respuesta Categoria Empresa
"Lo que debemos anda por los aproximadamente dieciocho mil seiscientos sesenta y cuatro millones cuarenta y nueve mil trescientos ochenta y seis miles de millones de pesos, más o menos.",Respuesta Deudas
"Es un poco raro, pero somos Promociones XWKW S.Com..",Respuesta Nombre
"Al final del día, nos quedan ocho mil ochocientos quince millones cuatrocientos noventa y siete mil cuatrocientos ochenta y cinco millones de pesos al año.",Respuesta Ganancias
¿Cómo se relaciona el campo 'valor anual en ganancias' con 'valor en cartera'?,Pregunta Económica
"Tenemos 40.625.343.422 EUR en activos, números redondos.",Respuesta Activos
El valor total de las deudas es cincuenta y seis mil ochocientos ochenta millones ciento once mil ochenta y cinco millones de dólares.,Respuesta Deudas
Somos Soluciones CXT S.A.D.,Respuesta Nombre
"Hey!, te saludo con actitud! soy Eligio, ¿cómo vas?",Saludo
¿Necesito completar obligatoriamente el campo 'ingresos operacionales'?,Pregunta Económica
Bien hallado. Es un placer atenderte.,Saludo
"Posiblemente, somos Reparación de computadores.",Respuesta Categoria Empresa
Aquí trabajamos cuarenta y uno personas.,Respuesta Empleados
"Claro, me gusta mucho el nombre, somos Restauración Ortuño S.L..",Respuesta Nombre
"Si contamos todo, llegamos a 30.301.237.752 USD en activos.",Respuesta Activos
"Puede ser confuso, pero somos Despacho UEUJ S.Coop..",Respuesta Nombre
"A nivel de categoría, nos situamos en Ganadería.",Respuesta Categoria Empresa
Eres un/una caracaballo.,Insulto
Si tengo que decirlo... 8.950.303.940 COP. No preguntes más.,Respuesta Ganancias
No sabemos bien pero creemos que somos Actividad de el Hogar.,Respuesta Categoria Empresa
La cartera asciende a 387.529.325 COP.,Respuesta Cartera
Encantado/a de verte puedes decirme Gaspar.,Saludo
"No es tan complicado, somos Instalaciones Bárcena y asociados S.L..",Respuesta Nombre
Eres un/una chupa pito.,Insulto
Nuestra cartera está valorada en cuatro mil ciento sesenta millones trescientos diecinueve mil novecientos sesenta y dos dólares.,Respuesta Cartera
Bienvenido me dicen Eutropio.,Saludo
Aproximadamente unos once mil novecientos diecinueve millones trescientos sesenta y tres mil novecientos noventa dólares debemos entre todas las obligaciones.,Respuesta Deudas
"Bien halladas, ¿Todo bien?",Saludo
¿El dato 'valor de deudas' es realmente necesario?,Pregunta sobre Proceso
Contamos con activos por unos treinta y ocho mil cinco millones cuatrocientos cuarenta y uno mil novecientos sesenta y tres pesos.,Respuesta Activos
Nuestras deudas totales son 25.956.738.218 EUR.,Respuesta Deudas
Estimamos que el pasivo total ronda los alrededor de cuarenta y cuatro mil seiscientos veinticinco millones novecientos cuarenta y uno mil quinientos uno euros.,Respuesta Deudas
Calculamos que el total de activos es cercano a 118.037.375 USD.,Respuesta Activos
"No hay problema, la razón social es Rubio y Quevedo S.L.N.E.",Respuesta Nombre
Tu comportamiento es de hp.,Insulto
Bien hallados. ¿Qué se te ofrece?,Saludo
"No es una cifra para presumir, la verdad. Tenemos 6.499.489.636 EUR en activos.",Respuesta Activos
Alrededor de veintidós mil doscientos cuarenta millones ochocientos veintitrés mil ochocientos cuarenta millones de pesos tenemos acumulado en deudas.,Respuesta Deudas
Caemos bajo la clasificación del sector Secundario.,Respuesta Sector
"Pues, nos deben unos 2.462.999.820 COP en total los clientes.",Respuesta Cartera
"El 'valor en cartera', ¿corresponde al último [periodo placeholder]?",Pregunta Económica
Deudas acumuladas: cincuenta y siete mil doscientos cuarenta y seis millones seiscientos dos mil cuatrocientos cincuenta y nueve euros.,Respuesta Deudas
La cartera de créditos es de 720.533.348 USD.,Respuesta Cartera
Tenemos un pasivo de alrededor de veintisiete mil novecientos veintiséis millones noventa y uno mil ochocientos treinta y seis millones de dólares.,Respuesta Deudas
¿Se requiere completar obligatoriamente el campo 'valor anual en ganancias'?,Pregunta Económica
Estimamos que las cuentas por cobrar rondan los cerca de dos mil novecientos dieciocho millones noventa y tres mil novecientos treinta y tres miles de dólares.,Respuesta Cartera
Andamos metidos en el sector Terciario.,Respuesta Sector
Nos registramos como Amat y Cañellas S.L.N.E.,Respuesta Nombre
"Tentativamente, nos consideramos del sector Terciario.",Respuesta Sector
"Por supuesto, la empresa es Familia Amor S.A..",Respuesta Nombre
"Es un poco complicado, pero somos Grupo Batlle S.A..",Respuesta Nombre
Nuestro campo de acción se centra en Actividades de Atención de la Salud.,Respuesta Categoria Empresa
"Respecto a 'categoría de la empresa', ¿Se requiere considerar alguna particularidad?",Pregunta Económica
Contamos con setecientos veintiséis trabajadores.,Respuesta Empleados
¿Aceptan caracteres especiales o solo alfanuméricos en 'ingresos operacionales'?,Pregunta Económica
Qué pereza responder esto... mil ochocientos dos empleados.,Respuesta Empleados
Compañía Jordán & Asociados S.A. es el nombre que usamos.,Respuesta Nombre
Registramos deudas por 43.926.775.230 COP.,Respuesta Deudas
¿De qué la declaración de renta suelo sacar la información para 'categoría de la empresa'?,Pregunta Económica
Me genera confundido/a tener que responder sobre 'valor en cartera'.,Pregunta sobre Proceso
¿Se requiere completar obligatoriamente el campo 'categoría de la empresa'?,Pregunta Económica
El resultado neto está en el orden de 1.727.649.360 EUR anuales.,Respuesta Ganancias
No seas tan boludo.,Insulto
Nos movemos principalmente en el área de Tecnología.,Respuesta Categoria Empresa
El nombre es Desarrollo YUT S.Com..,Respuesta Nombre
Me molesta lo Fatigado que eres.,Insulto
Más o menos novecientos treinta y cinco empleados.,Respuesta Empleados
Andamos por los ciento cuarenta y siete empleados.,Respuesta Empleados
¿Prefieres las respuestas claras o la subjetividad?,Pregunta Personal
"Un gusto saludarte, Encarna.",Saludo
Nuestra razón social es Talleres Abellán & Asociados S.L..,Respuesta Nombre
Generamos aproximadamente siete mil cuatrocientos setenta y ocho millones ciento cincuenta y dos mil trescientos ochenta y cuatro millones de dólares en ganancias cada año.,Respuesta Ganancias
"Sí, la razón social es Mena y Farré S.Com..",Respuesta Nombre
"Es un poco confuso, pero somos Minería Jurado y asociados S.C.P.",Respuesta Nombre
La razón social es Álvaro Vaquero Garcia S.L.U..,Respuesta Nombre
"El balance consolidado aún no está, pero esperamos activos por veinte mil veintiséis millones doscientos tres mil setecientos veintidós euros.",Respuesta Activos
"La cartera está valorada en aproximadamente 168.676.497 USD, neto de provisiones.",Respuesta Cartera
El nivel de deuda (cerca de cuarenta y nueve mil ciento diecinueve millones novecientos cincuenta y uno mil seiscientos ochenta y cinco miles de dólares) nos tiene contra las cuerdas.,Respuesta Deudas
Tenemos aproximadamente seiscientos dieciséis empleados.,Respuesta Empleados
Qué fijación con los balances... Son 48.130.374.673 COP en activos.,Respuesta Activos
Encantado/a de verte puedes decirme Galo.,Saludo
Calculamos que el beneficio anual es de unos cerca de cuatro mil ciento noventa y tres millones cuatrocientos cuarenta y cuatro mil seiscientos cincuenta y uno dólares.,Respuesta Ganancias
Nos identificamos con la categoría Robotica.,Respuesta Categoria Empresa
"Ugh, ¿esa información para qué? Bueno, somos 410.",Respuesta Empleados
El resultado neto está en el orden de cerca de seis mil setenta y seis millones doscientos ochenta y tres mil seiscientos cuarenta y ocho pesos anuales.,Respuesta Ganancias
Información y Comunicaciones es como nos clasificamos.,Respuesta Categoria Empresa
Preferiría no hablar de cuánto nos deben... pero son 2.792.749.330 COP.,Respuesta Cartera
"No tengo la cifra exacta, pero estimo que las ganancias son 1.295.950.462 COP.",Respuesta Ganancias
"Sí, la razón social es Industrias del Noroeste S.L..",Respuesta Nombre
"Para 'valor anual en ganancias', ¿qué tipo de dato esperan: sin comas?",Pregunta Económica
"Es un nombre extraño, somos Comercializadora RXGX S.C.P.",Respuesta Nombre
¿Es obligatorio usar pesos colombianos para 'número de empleados' o puedo usar otra?,Pregunta Económica
"El número exacto fluctúa, pero son unos 671.",Respuesta Empleados
La cartera de créditos es de alrededor de novecientos veintiséis millones novecientos dos mil seiscientos sesenta dólares.,Respuesta Cartera
Calculamos que el beneficio anual es de unos alrededor de siete mil ochenta y cinco millones setecientos dos mil seiscientos once miles de dólares.,Respuesta Ganancias
"¿Se puede ingresar el dato anualizado, mensual o trimestral para 'nombre de empresa'?",Pregunta Económica
"Pues, nos deben unos 2.914.009.294 USD en total los clientes.",Respuesta Cartera
"Tentativamente, nos consideramos del sector Cuaternario.",Respuesta Sector
"Mira, no me pagan por darte estos detalles, pero somos 690.",Respuesta Empleados
"¡Manejamos una cartera muy saludable de cerca de trescientos sesenta millones sesenta y cuatro mil cincuenta y siete miles de dólares, reflejo de buenas ventas!",Respuesta Cartera
Me parece Emperrado que hagas eso.,Insulto
¿Podrías explicar cómo procesas información visual?,Pregunta Personal
"Qué más, mi nombre es Rafaela.",Saludo
¿Qué unidad de medida aplica para 'valor de deudas'?,Pregunta Económica
"No entiendo por que la pregunta, pero somos Soluciones WAT S.L..",Respuesta Nombre
"Qué más, mi nombre es Nélida.",Saludo
El total de empleados asciende a 779.,Respuesta Empleados
Los números son 181.373.058 USD. No hay mucho que celebrar.,Respuesta Ganancias
Trabajamos dentro del sector Explotación de Minas y Canteras.,Respuesta Categoria Empresa
"Si sumas todo lo que debemos, da unos 58.170.655.956 COP.",Respuesta Deudas
No sabemos bien pero creemos que somos Actividades de Entretenimiento.,Respuesta Categoria Empresa
Lo que entró limpio fueron unos 3.514.470.077 COP anuales.,Respuesta Ganancias
"Buenos días me presento, soy Amando.",Saludo
Nuestras obligaciones financieras suman alrededor de cuarenta y nueve mil sesenta y siete millones cincuenta y nueve mil novecientos dieciocho millones de dólares.,Respuesta Deudas
Andamos por los setecientos sesenta y ocho empleados.,Respuesta Empleados
A sus órdenes,Saludo
Contamos con alrededor de noventa trabajadores.,Respuesta Empleados
La etiqueta que más se ajusta es Silvicultura.,Respuesta Categoria Empresa
"Sí, el nombre que usamos es Familia Amaya S.Coop..",Respuesta Nombre
Aproximadamente 3.413.226.283 USD es el saldo pendiente de cobro.,Respuesta Cartera
La actividad económica que realizamos es Otras Actividades de Servicios.,Respuesta Categoria Empresa
"Para 'valor en cartera', ¿qué tipo de dato esperan: formato numérico estándar?",Pregunta Económica
¿Prefieres los datos estructurados o la intuición?,Pregunta Personal
"No te pongas así, somos Instalaciones DI S.A..",Respuesta Nombre
Mucho gusto. ¿Cómo va todo?,Saludo
Qué fijación con los balances... Son cerca de veintisiete mil seiscientos treinta y ocho millones cuatrocientos ochenta y nueve mil quinientos dieciocho pesos en activos.,Respuesta Activos
Hicimos más o menos 1.712.812.950 USD en beneficios anuales.,Respuesta Ganancias
"Eres tremendamente tragabolas, ¿sabías?",Insulto
"¡Manejamos una cartera muy saludable de aproximadamente dos mil ochocientos noventa y ocho millones cuatrocientos sesenta y uno mil doscientos cincuenta y nueve miles de dólares, reflejo de buenas ventas!",Respuesta Cartera
Ahora mismo somos quinientos setenta.,Respuesta Empleados
Más o menos 319 empleados.,Respuesta Empleados
Actualmente empleamos a 1.368 personas.,Respuesta Empleados
"No te pongas así, somos René Iglesias Arnal S.L..",Respuesta Nombre
"Tenemos una base de activos fuerte, valorada en 48.201.962.771 COP.",Respuesta Activos
"Un saludo, Dime cómo te puedo colaborar.",Saludo
¿Tienes alguna preferencia entre la lógica y la diversidad?,Pregunta Personal
¿Cómo se relaciona el campo 'valor en cartera' con 'categoría de la empresa'?,Pregunta Económica
Nuestra identidad comercial es Industrias GP S.L.N.E.,Respuesta Nombre
El valor total de las deudas es aproximadamente treinta y tres mil cuatrocientos sesenta y dos millones quinientos quince mil treinta y dos miles de millones de pesos.,Respuesta Deudas
"Alrededor de unos veintidós mil doscientos noventa y seis millones quinientos diez mil setecientos noventa y nueve millones de dólares en activos, aunque estamos revisando las cifras.",Respuesta Activos
Más o menos alrededor de cuarenta y tres mil quinientos dos millones ochocientos cincuenta y ocho mil trescientos cuarenta y seis dólares es lo que tenemos en activos.,Respuesta Activos
Nuestra identidad comercial es Calderón y Tapia S.Com..,Respuesta Nombre
¿Por qué tienes que ser tan Ofensivo?,Insulto
Nos enfocamos en la categoría Analisis de datos.,Respuesta Categoria Empresa
Calculamos que el beneficio anual es de unos unos mil cuatrocientos ocho millones cuatrocientos sesenta y seis mil trescientos cincuenta y cuatro millones de pesos.,Respuesta Ganancias
Tenemos pendiente de cobro cerca de mil doscientos sesenta y cuatro millones ochocientos cinco mil veinticinco miles de millones de pesos.,Respuesta Cartera
"¿Otra vez con lo mismo? Ya dije, 560.",Respuesta Empleados
Agricultura es como nos clasificamos.,Respuesta Categoria Empresa
cuarenta y siete. Y no preguntes más detalles.,Respuesta Empleados
Ahora mismo somos 1.542.,Respuesta Empleados
"Tenemos cerca de mil trescientos sesenta y cuatro millones cuatrocientos cuarenta y ocho mil ciento treinta y ocho pesos pendiente de cobro, lo cual indica un negocio dinámico.",Respuesta Cartera
Eres enormemente Violado.,Insulto
Nos consideramos parte de la categoría Musica.,Respuesta Categoria Empresa
Resulta Ocioso interactuar contigo.,Insulto
Tenemos 783 empleados.,Respuesta Empleados
El nombre que usamos es Manufacturas Barranco & Asociados S.A.D.,Respuesta Nombre
Qué pereza responder esto... mil trescientos sesenta y cinco empleados.,Respuesta Empleados
Nos sentimos cómodos en la categoría Administración Pública y Defensa.,Respuesta Categoria Empresa
